Date,Site,Site Name,Location,Sales,GST,Quantity,Cost,Item Discount,Sales Discount,Sales Discount GST,Sale Discount Quantity
8/7/2017,1,Claremont,1,7000.84,697.94,438,68.95,-100.583,-4.979,20,
8/7/2017,4,Greenwood,4,10830.93,1082.7,675,19.4,-3.337,-0.334,2,
8/7/2017,7,Swanbourne,7,10007.16,999.64,535,167.26,-150.955,-13.207,22,
8/7/2017,8,Herdsman,8,6610.91,660.99,340,188.59,-227.255,-22.725,1,
